Sample	SRA	BioProject	Location	Location_short	Latitude	Longitude	Plant	Organ material	Year	Season	Species
S59	SRR24918016	PRJNA980748	Near the city of Kholmsk on Sakhalin Island (46.98275, 142.117957)	Near the city of Kholmsk (S-2)	46.98275	142.117957	S-2	Stem	2022	Summer	V. coignetiae
S60	SRR24918018	PRJNA980748	Near the city of Kholmsk on Sakhalin Island (46.98275, 142.117957)	Near the city of Kholmsk (S-2)	46.98275	142.117957	S-2	Stem	2022	Summer	V. coignetiae
S61	SRR24918020	PRJNA980748	Near the city of Nevelsk (46.658645, 141.888784)	Near the city of Nevelsk (S-3)	46.658645	141.888784	S-3	Leaf	2022	Summer	V. coignetiae
S62	SRR24918022	PRJNA980748	Near the city of Nevelsk (46.658645, 141.888784)	Near the city of Nevelsk (S-3)	46.658645	141.888784	S-3	Leaf	2022	Summer	V. coignetiae
S63	SRR24918025	PRJNA980748	Near the city of Nevelsk (46.658645, 141.888784)	Near the city of Nevelsk (S-3)	46.658645	141.888784	S-3	Stem	2022	Summer	V. coignetiae
S64	SRR24917960	PRJNA980748	Near the city of Nevelsk (46.658645, 141.888784)	Near the city of Nevelsk (S-3)	46.658645	141.888784	S-3	Stem	2022	Summer	V. coignetiae
S65	SRR25433230	PRJNA998468	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	Ad	Leaf	2022	Summer	V. vinifera × V. amurensis cv. Adele 
S66	SRR25433229	PRJNA998468	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	Ad	Leaf	2022	Summer	V. vinifera × V. amurensis cv. Adele 
S67	SRR25433218	PRJNA998468	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	Ad	Stem	2022	Summer	V. vinifera × V. amurensis cv. Adele 
S68	SRR25433207	PRJNA998468	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	Ad	Stem	2022	Summer	V. vinifera × V. amurensis cv. Adele 
